Entidad,Superficie,Habitantes,Hombres,Mujeres,Densidad de población,Vehículos registrados,Habitantes por vehículo,Índice de motorización,Longitud del camino (km),Veh-km (millones),Accidentes Totales,Accidentes Con muertos,Accidentes Solo con heridos,Accidentes Equivalentes,Saldos Muertos,Saldos Heridos,Daños materiales (millones),Índices Accidentes por 10^6 de Veh-km,Índices Peligrosidad por 10^5 de Veh-km,Índices Accidentes mortales por 10^5 de Veh-km,Índices Muertos por 10^5 de Veh-km,Índices Heridos por 10^5 de Veh-km,Año
Aguascalientes,"5,625","1,395,794","687,397","708,397",248.141,"611,917",2.281,0.438,392.960,"1,893.423",212,31,98,836,39,195,14.9796,0.112,0.442,0.002,0.002,0.010,2018
Baja California,"71,546","3,521,242","1,760,117","1,761,125",49.216,"1,734,061",2.031,0.492,"1,854.000","4,114.412",477,91,102,"1,631",112,241,29.7392,0.116,0.396,0.002,0.003,0.006,2018
Baja California Sur,"73,943","771,294","392,324","378,970",10.431,"510,615",1.511,0.662,"1,331.350","2,347.293",196,44,64,848,59,149,11.7975,0.084,0.361,0.002,0.003,0.006,2018
Campeche,"57,727","967,319","477,987","489,332",16.757,"325,505",2.972,0.337,"1,287.150","1,745.850",193,36,23,641,48,80,14.9843,0.111,0.367,0.002,0.003,0.005,2018
Coahuila,"151,445","3,132,017","1,562,875","1,569,142",20.681,"903,194",3.468,0.288,"1,955.120","5,887.944",239,50,71,"1,001",75,156,21.1585,0.041,0.170,0.001,0.001,0.003,2018
Colima,"5,627","760,333","378,085","382,248",135.122,"341,633",2.226,0.449,415.030,"1,428.461",139,34,60,709,50,135,10.0450,0.097,0.496,0.002,0.004,0.009,2018
Chiapas,"73,681","5,563,869","2,724,118","2,839,751",75.513,"891,503",6.241,0.160,"2,407.630","4,781.358",586,77,96,"1,750",100,282,42.3679,0.123,0.366,0.002,0.002,0.006,2018
Chihuahua,"247,487","3,727,984","1,849,190","1,878,794",15.063,"1,599,601",2.331,0.429,"2,543.700","4,839.271",310,76,114,"1,610",108,326,26.0485,0.064,0.333,0.002,0.002,0.007,2018
Ciudad de México,"1,484","9,041,395","4,320,428","4,720,967",6092.584,"5,801,469",1.558,0.642,168.970,"3,152.680",85,22,27,423,29,82,8.8205,0.027,0.134,0.001,0.001,0.003,2018
Durango,"123,367","1,836,460","906,278","930,182",14.886,"636,525",2.885,0.347,"2,538.750","3,149.493",196,56,71,"1,070",71,224,19.4930,0.062,0.340,0.002,0.002,0.007,2018
Guanajuato,"30,621","6,117,205","2,983,239","3,133,966",199.772,"2,041,008",2.997,0.334,"1,473.980","9,052.883",672,130,233,"2,782",167,554,66.7654,0.074,0.307,0.001,0.002,0.006,2018
Guerrero,"63,618","3,629,733","1,757,492","1,872,241",57.055,"1,182,837",3.069,0.326,"2,228.380","5,268.596",460,81,122,"1,902",123,352,46.4889,0.087,0.361,0.002,0.002,0.007,2018
Hidalgo,"20,856","3,014,258","1,456,613","1,557,645",144.527,"691,046",4.362,0.229,"1,023.080","5,712.181",449,53,98,"1,329",67,239,46.3540,0.079,0.233,0.001,0.001,0.004,2018
Jalisco,"78,630","8,238,991","4,062,734","4,176,257",104.782,"3,732,984",2.207,0.453,"2,799.250","11,688.328",509,123,107,"2,101",147,355,53.2172,0.044,0.180,0.001,0.001,0.003,2018
Estado de México,"22,333","17,056,666","8,331,561","8,725,105",763.743,"7,342,919",2.323,0.431,"1,231.140","13,002.578",576,155,140,"2,846",210,505,67.2113,0.044,0.219,0.001,0.002,0.004,2018
Michoacán,"58,667","4,757,482","2,312,384","2,445,098",81.093,"2,629,954",1.809,0.553,"2,853.600","8,297.353",466,86,82,"1,728",111,298,53.8540,0.056,0.208,0.001,0.001,0.004,2018
Morelos,"4,892","2,000,527","970,124","1,030,403",408.938,"790,470",2.531,0.395,456.090,"3,932.278",175,30,29,583,42,78,11.4655,0.045,0.148,0.001,0.001,0.002,2018
Nayarit,"27,862","1,252,363","625,972","626,391",44.949,"449,029",2.789,0.359,"1,122.480","3,144.495",275,54,61,"1,241",88,219,34.8750,0.087,0.395,0.002,0.003,0.007,2018
